gene,control,treated,log2(fold_change)
IFITM10,0.152353,0.528733,1.79513
CTSD,117.186,153.561,0.390009
MIR4298,0,0,0
MRPL23-AS1,0.00867899,0.0868699,3.32326
"H19,MIR675",0.0421576,3.71765,6.46245
"IGF2,INS,INS-IGF2",0.1378,2.51647,4.19076
MIR483,0,0,0
TH,0,0.0332665,1.79769e+308
ASCL2,0,0,0
C11orf21,0,0.0136365,1.79769e+308
TRPM5,0.0199203,0.0654078,1.71522
KCNQ1OT1,0.0124958,0.0102695,-0.283078
CDKN1C,8.65049,8.68595,0.00590137
SLC22A18AS,0.0876505,0.149654,0.771799
PHLDA2,30.6851,38.8629,0.340854
NAP1L4,54.5806,57.7007,0.080199
SNORA54,0,0,0
CARS,28.0835,23.8709,-0.234469
OSBPL5,0.563949,1.43284,1.34524
MRGPRG,0.0654231,0.0788547,0.269396
MRGPRE,1.8137,1.4025,-0.370937
ZNF195,8.21645,7.08042,-0.21468
OR7E12P,0.0610883,0.0658347,0.107952
ART5,0,0.0127313,1.79769e+308
CHRNA10,0.169533,0.185134,0.127006
NUP98,22.9824,18.9394,-0.279139
RHOG,20.23,22.5609,0.157327
OR52B4,0,0,0
TRIM21,9.21317,12.315,0.418647
C11orf40,0,0,0
TRIM68,0.795821,1.42541,0.84086
OR51E2,0,0,0
OR51F1,0,0,0
OR52R1,0,0,0
OR51S1,0,0,0
OR51G2,0,0,0
OR51G1,0,0,0
OR51A4,0,0,0
OR51A2,0,0,0
OR52E2,0,0,0
OR52A5,0,0,0
OR52A1,0,0,0
OR51V1,0,0,0
HBB,0,0,0
HBD,0,0.0228941,1.79769e+308
HBBP1,0,0,0
HBG1,0,0,0
HBG2,0,0,0
HBE1,0,0.0427694,1.79769e+308
OR51B4,0,0,0
OR51B2,0,0,0
OR51B5,0,0.0640554,1.79769e+308
OR51I1,0,0,0
UBQLN3,0,0,0
UBQLNL,0.0485884,0.0632151,0.379656
OR52H1,0,0.0347507,1.79769e+308
TRIM5,5.07392,7.69134,0.600132
OR52N5,0,0,0
OR52N1,0,0,0
OR52E6,0.0197295,0.0178535,-0.144147
OR52E8,0,0,0
OR56A5,0,0.0535606,1.79769e+308
OR52L1,0,0.0148879,1.79769e+308
OR56A4,0,0,0
OR56A1,0,0,0
OR52B2,0,0.0171782,1.79769e+308
FAM160A2,3.72877,5.297,0.506474
PRKCDBP,0.0701035,0.127015,0.857439
APBB1,0.416794,2.12568,2.35052
HPX,0.0726367,0.14151,0.962133
TRIM3,4.61948,5.67618,0.297191
ARFIP2,13.6022,12.0863,-0.170469
RRP8,3.76345,2.73842,-0.458713
TAF10,51.5757,61.6138,0.256562
TPP1,44.3382,64.6015,0.543017
DCHS1,0.0310449,0.0167534,-0.889899
MRPL17,15.3816,12.4269,-0.307738
GVINP1,0.106431,0.180027,0.758293
OR2AG2,0.0974864,0.0529362,-0.880946
OR6A2,0,0,0
OR2D2,0,0,0
ZNF214,0.114132,0.0875719,-0.382168
CYB5R2,0.0256668,0.0233064,-0.139177
OVCH2,0,0,0
OR5P2,0,0,0
OR5P3,0,0,0
LOC283299,0,0.0117237,1.79769e+308
OR10A6,0,0.0177836,1.79769e+308
OR10A3,0,0,0
NLRP10,0,0.00739967,1.79769e+308
RIC3,0,0.00267801,1.79769e+308
LMO1,0.0137066,0.0124407,-0.139807
STK33,1.92797,3.15784,0.711857
TRIM66,1.46159,2.15004,0.55683
ST5,0.283653,0.551686,0.959719
C11orf16,0,0.00781186,1.79769e+308
ASCL3,0,0,0
TMEM9B,14.1877,16.1586,0.187662
NRIP3,0.0452643,0.581698,3.68382
SCUBE2,0,0.0140988,1.79769e+308
DENND5A,0.024961,0.0375365,0.588617
TMEM41B,16.4189,19.5599,0.252535
LOC644656,2.80507,2.79797,-0.00365785
LOC440028,0.406948,0.351481,-0.211399
SBF2,4.43546,6.37988,0.524446
MTRNR2L8,0.661886,1.15258,0.800215
RNF141,6.2494,10.0611,0.687005
LYVE1,0.00644317,0,-1.79769e+308
MRVI1,0.219784,0.953866,2.1177
EIF4G2,213.641,138.514,-0.625156
SNORD97,0,0,0
ZBED5,14.994,13.7013,-0.130075
GALNTL4,16.8831,18.1198,0.101985
CSNK2A1P,21.4269,18.6468,-0.200493
MIR4299,0,0,0
DKK3,0.0448777,1.56161,5.12089
LOC100506305,0,0.19743,1.79769e+308
BTBD10,9.096,11.0598,0.282023
PTH,0,0,0
RRAS2,1.22173,3.20524,1.39151
COPB1,62.6078,56.341,-0.152157
PSMA1,126.466,92.6964,-0.448167
CYP2R1,5.98743,7.60182,0.344409
CALCA,0,0.103022,1.79769e+308
SOX6,0.0276716,0.023703,-0.223334
PLEKHA7,2.01268,4.80588,1.25568
RPS13,1171.79,1096.95,-0.0952217
PIK3C2A,9.75549,15.9314,0.707589
KCNJ11,0.953807,1.7677,0.890101
ABCC8,0.00311101,0.405938,7.02773
USH1C,0.00726956,0.162031,4.47826
SERGEF,5.90304,6.22512,0.0766435
TPH1,0.247139,0.233152,-0.0840503
SAAL1,15.9205,15.2046,-0.0663786
SAA3P,0,0,0
"SAA2,SAA2-SAA4,SAA4",0.026205,0.0731629,1.48127
HPS5,6.39339,7.00857,0.13254
TSG101,30.1077,36.0419,0.25954
UEVLD,4.21966,4.78622,0.181759
SPTY2D1,8.84847,9.27001,0.0671435
IGSF22,0.00718813,0.0262296,1.86751
PTPN5,0.0209023,0.0190525,-0.133675
MRGPRX1,0,0,0
MRGPRX2,0,0.00733987,1.79769e+308
CSRP3,0,0,0
E2F8,9.10884,6.092,-0.580351
NAV2-AS4,0.0756844,0.103166,0.446905
LOC100126784,0.0167955,0.0153273,-0.131972
MIR4694,0,0,0
DBX1,0,0.0319399,1.79769e+308
FANCF,7.00323,9.24882,0.401247
SVIP,38.0304,55.5036,0.545428
LOC100500938,0,0,0
MUC15,0,0,0
SLC5A12,0,0.00672855,1.79769e+308
CCDC34,8.69117,10.3659,0.254227
LGR4,0.206195,1.81712,3.13958
LIN7C,3.80528,3.62951,-0.0682292
BDNF,0.0184532,0.0278484,0.593719
KIF18A,5.04991,4.8369,-0.0621757
KCNA4,0,0.0170288,1.79769e+308
MPPED2,0,0.072664,1.79769e+308
DCDC5,0.00326001,0.00594892,0.867751
DCDC1,0.00958285,0.0871576,3.1851
IMMP1L,5.44013,10.1502,0.899792
PAX6,0.194764,0.194141,-0.0046268
WT1,1.82509,1.93155,0.0817887
CCDC73,0.496471,0.518498,0.0626306
CSTF3,54.1504,54.5551,0.0107425
C11orf91,0.0624101,0.169337,1.44004
CD59,30.751,32.2889,0.070405
FBXO3,12.3021,15.2994,0.314574
LMO2,0.128053,1.52005,3.5693
ABTB2,0.875453,1.81967,1.05558
ELF5,0,0.0073436,1.79769e+308
APIP,21.8814,19.5463,-0.162811
SLC1A2,0.00130079,0.0132024,3.34334
PAMR1,0,0.00533159,1.79769e+308
COMMD9,10.1802,9.93599,-0.0350266
TRAF6,1.47076,1.95143,0.407974
RAG2,0.00611038,0.0412659,2.75562
LRRC4C,0.0115628,0.0210937,0.86732
LOC100507205,0,0,0
HNRNPKP3,0,0.0159986,1.79769e+308
LOC100507300,0.0428215,0.0467601,0.126943
ALX4,0.00847036,0.22675,4.74254
TP53I11,1.00739,6.45423,2.67963
SYT13,0.0134953,0.054885,2.02395
CHST1,0,0.170242,1.79769e+308
C11orf94,0.0816208,0.0717944,-0.185065
PEX16,11.7973,15.4531,0.389437
PHF21A,3.25522,5.3838,0.725868
CHRM4,0.0348951,0.105684,1.59866
AMBRA1,3.98614,4.56351,0.195153
MIR3160-1,0,0,0
HARBI1,8.48267,8.74366,0.0437184
ARHGAP1,23.7132,21.8527,-0.117881
CKAP5,53.0736,50.1076,-0.0829648
SNORD67,0,0,0
LRP4,0.0648873,0.541674,3.06142
ARFGAP2,56.0547,45.8925,-0.288577
PACSIN3,1.55082,5.31861,1.77802
ACP2,21.3014,21.0628,-0.0162515
MYBPC3,0.00739496,0.00337287,-1.13257
SPI1,21.5,20.105,-0.0967826
PSMC3,91.3619,57.9328,-0.657211
RAPSN,0.190782,0.0828754,-1.20291
CELF1,24.3372,20.2813,-0.263011
KBTBD4,6.57417,5.59642,-0.232305
C1QTNF4,0.0364302,0.0220609,-0.723641
MTCH2,40.7534,34.1824,-0.253666
AGBL2,0.00437586,0.0399033,3.18887
FNBP4,22.8751,17.4124,-0.393663
NUP160,19.9967,17.7173,-0.174601
OR4C45,0,0,0
LOC120824,0,0,0
TRIM64C,0,0,0
FOLH1,0,0.0259427,1.79769e+308
OR4C12,0,0,0
LOC441601,0,0,0
OR4A5,0,0,0
LOC440041,0,0,0
OR4C11,0,0,0
OR5W2,0,0,0
OR5I1,0,0,0
OR10AG1,0,0,0
OR7E5P,0,0,0
OR5F1,0,0,0
OR8J3,0,0,0
OR8K5,0,0,0
OR5T2,0,0,0
OR8H1,0,0,0
OR5R1,0,0,0
OR5M9,0,0,0
OR5M3,0,0,0
OR5M8,0,0,0
OR5M11,0,0,0
OR5M10,0,0,0
OR5M1,0,0,0
OR5AP2,0,0,0
OR9G4,0,0,0
APLNR,0,0.0300936,1.79769e+308
TNKS1BP1,9.6739,9.11907,-0.0852105
SSRP1,257.272,188.249,-0.450649
PRG3,0,0.0197422,1.79769e+308
PRG2,10.2319,14.0479,0.45728
SLC43A3,243.496,164.18,-0.568619
SLC43A1,16.2629,15.3932,-0.0792959
TIMM10,130.707,108.864,-0.263811
UBE2L6,86.567,126.915,0.551971
YPEL4,0.776613,6.14479,2.9841
MED19,7.86006,7.87767,0.00322791
BTBD18,0.0729383,0.0427444,-0.770942
OR9I1,0,0,0
OR1S2,0,0,0
OR10Q1,0,0,0
OR10W1,0,0,0
OR5B17,0,0,0
OR5B3,0,0,0
OR5B2,0,0,0
OR5B12,0.0343649,0.0155684,-1.14231
OR5B21,0.0601438,0.126972,1.07802
LPXN,137.949,193.571,0.488732
GLYAT,0.0155512,0.0072616,-1.09867
GLYATL2,0,0.0113616,1.79769e+308
LOC283194,0.00740225,0.0995209,3.74896
MPEG1,0.0241232,0.0220081,-0.132384
OR5A2,0,0,0
OSBP,20.1563,19.2289,-0.0679524
MIR3162,0,0,0
PATL1,17.6357,14.8031,-0.252599
OR10V1,0,0,0
MRPL16,54.0235,38.7894,-0.477924
GIF,0,0,0
TCN1,0,0,0
MS4A6A,0.0185804,0,-1.79769e+308
PTGDR2,0.700594,0.932831,0.413038
PRPF19,135.516,113.799,-0.251977
SLC15A3,1.37712,2.47311,0.844667
VPS37C,8.97173,8.2182,-0.126565
VWCE,0.400529,0.535674,0.41945
DDB1,158.538,130.198,-0.284121
CYBASC3,26.3641,27.8767,0.0804837
CPSF7,55.7846,41.1137,-0.44025
SYT7,0.156818,4.09306,4.70602
DKFZP434K028,0.0200141,0,-1.79769e+308
"C11orf10,MIR611",882.587,636.2,-0.472258
FADS1,157.12,128.415,-0.291055
MIR1908,0,0,0
FADS3,47.7745,49.9614,0.0645732
RAB3IL1,13.9006,18.6384,0.423126
FTH1,846.627,874.811,0.0472454
SCGB1D4,0,0,0
AHNAK,181.108,205.859,0.184813
"EEF1G,MIR3654",1802.81,1980.25,0.135432
TUT1,28.1918,28.6714,0.0243388
MTA2,77.9473,59.0972,-0.399409
EML3,17.7212,24.1236,0.444974
B3GAT3,71.7686,81.1585,0.17739
GANAB,324.912,267.319,-0.281489
INTS5,20.1718,18.7546,-0.105094
C11orf48,49.3008,47.4103,-0.0564094
UBXN1,63.0444,84.1161,0.416015
LRRN4CL,0.00621483,0.00566205,-0.134391
"BSCL2,HNRNPUL2,HNRNPUL2-BSCL2",222.887,246.589,0.145792
ZBTB3,2.28875,2.11533,-0.113678
TMEM223,41.9464,38.1531,-0.136747
NXF1,45.8122,32.1909,-0.509078
STX5,44.7467,45.3783,0.0202201
WDR74,106.886,66.2209,-0.690717
SNHG1,163.124,96.2854,-0.76058
SNORD22,180.103,135.192,-0.413812
SNORD31,0,0,0
SNORD30,0,0,0
SNORD29,0,0,0
SNORD28,0,0,0
SNORD27,0,0,0
SNORD26,0,0,0
SNORD25,0,0,0
CHRM1,0,0.00515239,1.79769e+308
SLC22A6,0,0,0
SLC22A8,0,0,0
SLC22A24,0,0,0
SLC22A25,0,0,0
MIR3680-1,0,0,0
HRASLS5,0,0,0
HRASLS2,0.411845,2.29855,2.48055
PLA2G16,3.64952,19.2505,2.39912
ATL3,25.2963,19.6767,-0.362437
C11orf95,4.55578,5.76389,0.339346
RCOR2,0.480947,2.24146,2.22049
MACROD1,64.8406,63.9887,-0.0190808
TRPT1,33.1407,48.1972,0.540345
PPP1R14B,432.834,330.627,-0.388606
BAD,47.789,48.3772,0.0176477
TRMT112,456.72,427.439,-0.0955908
NRXN2,0.0701668,0.328856,2.22859
RASGRP2,0.243597,4.42965,4.18463
PYGM,0.127143,0.115922,-0.1333
SF1,85.4487,68.5642,-0.317603
MAP4K2,12.9276,18.9327,0.550429
MEN1,25.1534,32.687,0.377967
CDC42BPG,3.32787,4.21284,0.340194
EHD1,27.1418,26.2278,-0.0494228
MIR192,0,0,0
MIR194-2,0,0,0
ATG2A,8.15138,10.5219,0.368283
GPHA2,0,0,0
C11orf85,0,0,0
BATF2,0.251807,0.653006,1.37478
NAALADL1,0.0774972,0.173817,1.16535
CDCA5,70.0118,45.7393,-0.614164
LOC100130348,0.0584895,0.0519629,-0.170697
ZNHIT2,20.5419,19.1228,-0.103274
FAU,1476.98,1446.41,-0.0301656
SYVN1,63.3947,59.242,-0.0977428
SLC25A45,6.23724,6.09088,-0.0342584
LTBP3,7.78584,9.49585,0.286445
LOC254100,2.07129,3.14055,0.600489
KCNK7,0.236992,0.147516,-0.683963
MAP3K11,17.4175,19.3106,0.148853
RELA,40.5864,39.2106,-0.049753
RNASEH2C,22.8385,24.7294,0.114759
AP5B1,10.7882,10.7426,-0.00611225
CFL1,1159.14,1200.64,0.0507492
EFEMP2,0.158474,0.984662,2.63538
FIBP,92.6904,111.88,0.271466
FOSL1,3.96423,5.03189,0.344062
C11orf68,18.1302,17.4407,-0.0559399
EIF1AD,24.5138,21.2067,-0.209073
CATSPER1,0.110303,0.323823,1.55373
GAL3ST3,0.00475709,0.0260229,2.45163
YIF1A,102.243,104.236,0.0278488
CD248,0.0125712,0.0114526,-0.134442
RIN1,0.0417794,0.0706977,0.758873
BRMS1,78.6264,62.8087,-0.324049
B3GNT1,12.8446,19.7102,0.617784
SLC29A2,30.7472,18.4574,-0.736256
MRPL11,72.6802,57.5683,0
ZDHHC24,13.0798,18.1355,0.471475
CTSF,7.99347,28.2775,1.82276
CCDC87,0.0491687,0.253936,2.36865
RBM4B,15.6879,14.4016,-0.123423
SPTBN2,8.49497,6.74599,-0.332579
PC,2.05864,2.55217,0.310033
POLD4,19.3686,38.086,0.975539
CLCF1,0.549245,0.802784,0.547563
PPP1CA,95.3863,93.2738,-0.0323101
PTPRCAP,0.227567,0.0748473,-1.60427
CORO1B,5.32395,2.93672,-0.858289
GPR152,0.179952,0.272452,0.598393
TMEM134,15.9505,29.4611,0.885216
PITPNM1,6.86457,16.403,1.25672
CDK2AP2,83.2058,89.5864,0.106596
CABP2,0,0,0
DOC2GP,0.962104,2.40158,1.31972
NUDT8,126.318,82.8821,-0.607931
TBX10,0.634999,0.607,-0.0650591
ACY3,6.11766,3.65779,-0.742007
ALDH3B2,0,0.0235383,1.79769e+308
FAM86C2P,9.35812,21.7802,1.21873
UNC93B1,110.797,88.9759,-0.316434
CHKA,27.7484,28.0264,0.014382
SUV420H1,26.2318,25.105,-0.0633436
C11orf24,44.1233,49.249,0.158554
MTL5,0.442453,0.506022,0.193678
CPT1A,42.9813,50.9031,0.244044
MRPL21,169.004,125.604,-0.428175
MRGPRD,0,0.0173091,1.79769e+308
MRGPRF,0.00714609,0.0347118,2.2802
ORAOV1,9.36219,10.281,0.13506
FGF19,0,0.0695752,1.79769e+308
FGF4,0,0.0261719,1.79769e+308
FGF3,0,0.00995081,1.79769e+308
SHANK2,7.15088,5.78928,-0.304738
MIR3664,0,0,0
FLJ42102,0,0.0137396,1.79769e+308
DHCR7,284.678,227.737,-0.32196
KRTAP5-11,0,0,0
LOC100133315,1.12657,1.96798,0.80478
NUMA1,35.1944,32.173,-0.129492
MIR3165,0,0,0
LAMTOR1,39.1038,42.7734,0.129404
C11orf51,42.9925,33.275,-0.369645
PHOX2A,0,0,0
CLPB,7.96938,8.19419,0.0401329
PDE2A,0.154958,1.24908,3.01092
MIR139,0,0,0
ARAP1,10.8132,12.667,0.228287
STARD10,0.926723,3.68245,1.99046
FCHSD2,20.1084,19.4281,-0.0496583
FAM168A,5.96057,10.9891,0.882555
RAB6A,70.5604,88.5544,0.327706
CHCHD8,148.06,138.552,-0.095763
UCP2,72.5542,110.644,0.608791
UCP3,0.696475,0.875367,0.329817
C2CD3,5.68819,6.31041,0.149763
P4HA3,0,0,0
PGM2L1,0.265339,2.41621,3.18684
KCNE3,0,0.0188488,1.79769e+308
LIPT2,1.65726,1.67444,0.0148808
CHRDL2,0.00999403,0,-1.79769e+308
MIR4696,0,0,0
XRRA1,2.34872,3.11335,0.406597
OR2AT4,0,0,0
ARRB1,0.595141,2.05085,1.78492
MIR326,0,0,0
KLHL35,0.306379,0.170382,-0.846546
GDPD5,1.52681,4.98523,1.70714
MAP6,0.0193084,0.159184,3.0434
LOC283214,0.0113139,0,-1.79769e+308
WNT11,0.73653,1.80026,1.28939
PRKRIR,73.1991,64.2796,-0.187465
LRRC32,0.00370747,0.290859,6.29374
GUCY2E,0.022823,0.0831934,1.86598
GDPD4,0.0762306,0.173614,1.18744
PAK1,0.413618,2.10558,2.34784
CLNS1A,143.909,123.858,-0.216467
RSF1,11.4079,15.8885,0.477949
INTS4,21.1716,23.7996,0.16881
"KCTD14,NDUFC2,NDUFC2-KCTD14",76.8593,72.8281,-0.0777243
ALG8,115.148,92.376,-0.317893
KCTD21,2.02706,4.24999,1.06807
GAB2,0.54068,2.33316,2.10944
NARS2,27.3839,26.4805,-0.0484007
ODZ4,0.0714004,0.17527,1.29557
MIR708,0,0,0
MIR4300,0,0,0
FAM181B,0,0.0971898,1.79769e+308
PRCP,55.5839,89.8883,0.693467
RAB30,28.5064,43.1465,0.597959
SNORA70E,0,0,0
CCDC90B,31.2154,49.5246,0.665886
DLG2,0.277881,0.556301,1.0014
CREBZF,22.024,20.9326,-0.0733223
CCDC89,0.00665012,0.0545157,3.03522
SYTL2,0.347706,2.00603,2.52841
PICALM,40.4467,53.9128,0.414605
ME3,1.99048,3.36002,0.755356
OR7E2P,0,0,0
FZD4,0.510842,2.53391,2.31042
RAB38,0.772515,0.41474,-0.897354
CTSC,128.11,114.48,-0.162277
GRM5,0.00194365,0,-1.79769e+308
NOX4,0.0185035,0.0153967,-0.26517
TRIM49,0,0,0
TRIM64B,0,0,0
"LOC399939,TRIM49L1",0,0.00525962,1.79769e+308
LOC399940,0,0,0
TRIM53P,0,0,0
CHORDC1,39.6065,32.2801,-0.295091
MIR4490,0,0,0
SLC36A4,7.39261,7.31202,-0.0158153
C11orf75,4.04543,11.6714,1.52861
SNORA25,0,0,0
SNORA32,0,24.4276,1.79769e+308
SNORD6,0,0,0
SNORA1,11.0352,0,-1.79769e+308
SNORA8,31.8172,29.758,-0.0965258
SNORD5,0,0,0
SNORA18,64.5804,112.329,0.798562
MIR1304,0,0,0
SNORA40,132.848,109.331,-0.281065
TAF1D,51.3921,47.5345,-0.11257
VSTM5,0,0.0321259,1.79769e+308
GPR83,0.0400367,0.0697254,0.800362
MRE11A,9.92443,10.9004,0.135327
CWC15,31.9163,27.2551,-0.227765
SESN3,0.389109,3.82011,3.29537
FAM76B,8.13327,8.50174,0.0639219
MTMR2,5.13756,6.23976,0.280406
MAML2,6.21397,8.60622,0.469864
CCDC82,11.4163,15.4172,0.433443
PGR,0,0,0
TRPC6,0,0,0
MIR3920,0,0,0
ANGPTL5,0,0.0435633,1.79769e+308
TMEM123,125.952,126.161,0.00239814
MMP7,0,0,0
MMP20,0,0,0
MMP27,0,0,0
MMP8,0.0103895,0.0142054,0.451311
MMP10,0,0.0948418,1.79769e+308
MMP1,0,0.103442,1.79769e+308
MMP3,0,0,0
MMP12,0,0.00802756,1.79769e+308
MMP13,3.58457,22.998,2.68164
DCUN1D5,6.83569,5.17121,-0.402583
PDGFD,0.0632344,0.418846,2.72764
CASP12,0.343181,0.673541,0.972796
LOC643733,0,0.408045,1.79769e+308
CASP4,22.1055,35.4628,0.6819
CASP5,0.0205169,0.0645608,1.65385
"CARD17,CASP1",5.31432,15.1492,1.51129
CARD16,5.76671,14.3872,1.31897
CARD18,0.0944357,0.453112,2.26246
KIAA1826,13.2153,17.0671,0.36901
KBTBD3,1.324,3.09946,1.22711
GUCY1A2,0.0113157,0.0205413,0.860208
CWF19L2,9.3029,8.13862,-0.192897
ALKBH8,4.60579,5.43449,0.238697
SLN,0.0548494,0,-1.79769e+308
SLC35F2,32.7155,22.6002,-0.53364
NPAT,11.6358,11.7158,0.00988275
C11orf65,0.405,1.18039,1.54327
KDELC2,0.108423,0.507731,2.22739
EXPH5,0.0327926,0.209628,2.67639
RDX,11.9535,15.9552,0.416587
ARHGAP20,0,0.0068002,1.79769e+308
C11orf92,0.134684,0.194615,0.531046
POU2AF1,67.7374,77.1425,0.187574
LOC100132078,0.0124193,0,-1.79769e+308
BTG4,0,0.0163337,1.79769e+308
PPP2R1B,34.3944,36.6469,0.0915165
ALG9,11.0786,10.4027,-0.0908254
FDXACB1,3.87819,3.31727,-0.225387
CRYAB,0,0.0532101,1.79769e+308
PIH1D2,2.14699,2.96847,0.467406
TIMM8B,111.042,91.6647,-0.276664
IL18,0.778311,2.53832,1.70545
C11orf34,0.0220097,0.0500098,1.18407
LOC100288346,0.226609,0.472014,1.05863
DRD2,0.00614548,0.0324355,2.39998
MIR4301,0,0,0
TMPRSS5,0.110498,0.100612,-0.135225
ZW10,23.0706,22.0506,-0.0652431
USP28,9.66376,10.6616,0.141772
C11orf71,7.37969,14.553,0.979688
FAM55A,0,0.00797119,1.79769e+308
FAM55D,0,0.00896229,1.79769e+308
CADM1,15.3032,35.0683,1.19633
LOC283143,0.0652351,0.283809,2.1212
BUD13,17.8692,14.1874,-0.332864
ZNF259,46.1374,40.8171,-0.176761
APOA5,0,0.0354546,1.79769e+308
APOA4,0,0.0106344,1.79769e+308
APOA1,0.0839162,0.094862,0.176882
SIK3,8.73481,9.81601,0.168361
LOC100652768,0.648623,1.05564,0.702669
PCSK7,19.4608,23.6516,0.281372
BACE1,0.937982,1.81752,0.954341
DSCAML1,0.0866073,0.192588,1.15296
"FXYD2,FXYD6,FXYD6-FXYD2",0.190346,0.852522,2.16312
TMPRSS13,0.0852987,0.160134,0.908685
LOC100526771,0.151794,0.535295,1.81821
SCN4B,0,0.594015,1.79769e+308
SCN2B,0,0.0172334,1.79769e+308
AMICA1,0.00841913,0,-1.79769e+308
MPZL3,3.72409,5.84539,0.650411
MPZL2,2.98527,7.85447,1.39565
CD3D,0,0.0484765,1.79769e+308
LOC100131626,0.193318,0.146065,-0.404369
IFT46,7.46832,9.38658,0.329817
TREH,0,0.00813785,1.79769e+308
DDX6,27.056,21.0395,-0.362845
BCL9L,2.24046,4.17758,0.898874
RPL23AP64,4.23948,4.80062,0.179335
RPS25,2876.7,2746.92,-0.0666003
SLC37A4,84.3197,83.5539,-0.0131633
HYOU1,222.592,162.231,-0.456353
H2AFX,17.1793,15.9734,-0.105002
DPAGT1,34.7824,37.2459,0.0987231
CCDC153,0.0513537,0.0694998,0.436542
MCAM,10.9422,26.3083,1.26562
MFRP,0,0.00728892,1.79769e+308
USP2,0.135409,0.933276,2.78498
THY1,0.0134868,0.319382,4.56567
PVRL1,14.4915,15.3232,0.0805031
TRIM29,0,0.00959362,1.79769e+308
LOC649133,0,0,0
MIR100HG,0.0308886,0.319104,3.36888
MIR125B1,0,0,0
BLID,0,0.0199446,1.79769e+308
MIRLET7A2,0,0,0
MIR100,0,0,0
BSX,0,0,0
HSPA8,1019.44,702.38,-0.537457
CLMP,0.0549034,0.144511,1.39621
MIR4493,0,0,0
SCN3B,0.0122395,0.0744701,2.60511
ZNF202,3.19822,3.3706,0.0757404
OR6X1,0,0,0
OR6M1,0,0,0
TMEM225,0,0,0
OR6T1,0,0,0
OR10S1,0,0,0
OR10G7,0,0,0
OR8D1,0,0.0182115,1.79769e+308
OR8D2,0,0,0
OR8B2,0,0,0
OR8B3,0,0,0
OR8B4,0,0,0
OR8B8,0,0,0
OR8B12,0,0,0
SIAE,4.3165,10.7096,1.31097
VSIG2,0,0.187995,1.79769e+308
ESAM,0.345522,1.0076,1.54408
C11orf61,2.92494,3.51557,0.265352
ROBO4,0,0,0
HEPACAM,0,0,0
TMEM218,2.76113,4.2412,0.619215
FEZ1,0,0.0429739,1.79769e+308
ACRV1,0.150854,0.0855305,-0.818643
PATE2,0.0411061,0.00934341,-2.13733
PUS3,9.1062,9.16092,0.00864336
CDON,0.462716,1.80687,1.9653
RPUSD4,21.1882,15.2577,-0.473729
SRPR,103.002,77.0496,-0.418819
FLJ39051,0.316294,0.951186,1.58846
KIRREL3,0.322798,0.536983,0.734243
MIR3167,0,0,0
ETS1,3.75701,8.99324,1.25926
LOC100507392,0.456066,1.31498,1.52773
KCNJ1,0.166877,0.202323,0.277869
C11orf45,0.112387,0.812115,2.85321
TP53AIP1,0.0729109,0.0649645,-0.166484
ARHGAP32,0.914357,2.04398,1.16055
NFRKB,7.98706,8.20997,0.0397119
PRDM10,2.42891,2.00208,-0.278811
ZBTB44,7.62627,7.88597,0.0483111
ADAMTS8,0.0085755,0.113395,3.72499
SNX19,5.54358,7.51474,0.438906
OPCML,0,0.00890228,1.79769e+308
SPATA19,0,0,0
LOC283174,0.873508,2.86969,1.716
IGSF9B,0.527403,1.92596,1.8686
NCAPD3,21.2242,17.1406,-0.308294
THYN1,23.3018,24.7397,0.0863893
B3GAT1,1.05174,2.25584,1.10089
LOC100288778,12.0515,14.3751,0.254356
IQSEC3,0,0.0144363,1.79769e+308
CCDC77,9.61259,9.63599,0.0035079
B4GALNT3,0.0550134,0.873643,3.98919
WNK1,18.1125,21.9978,0.280379
ERC1,4.85916,6.85317,0.496062
LOC100292680,0.0289793,0.0329851,0.186791
WNT5B,4.23652,7.79356,0.879403
ADIPOR2,40.4052,38.9835,-0.0516771
LRTM2,0.0128683,0.0259299,1.01079
CACNA1C,0.0222866,0.0854286,1.93854
FKBP4,64.2636,54.7673,-0.230687
ITFG2,7.75632,4.53056,-0.775684
LOC100507424,1.41419,1.40561,-0.00877529
C12orf32,16.4132,15.8208,-0.0530337
TULP3,6.54154,7.8129,0.256228
TEAD4,17.9389,14.6706,-0.290161
TSPAN9,0.678226,2.12599,1.6483
PRMT8,0,0,0
CCND2,47.0781,34.4325,-0.451285
C12orf5,2.62952,2.6464,0.0092316
RAD51AP1,18.4201,15.6846,-0.231934
DYRK4,3.84675,3.58967,-0.0997878
NDUFA9,77.0086,57.2439,-0.427899
GALNT8,0.0535507,0.111434,1.05722
KCNA6,0,0.0188776,1.79769e+308
KCNA1,0.00382389,0.209479,5.77562
KCNA5,0.0111303,0.0508591,2.19201
NTF3,11.3823,12.6167,0.148549
CD9,571.49,563.05,-0.0214655
PLEKHG6,0.0221199,0.141312,2.67546
LTBR,0.194243,0.11317,-0.779373
CD27,0.118353,0.262661,1.1501
TAPBPL,34.0452,28.6218,-0.250338
NCAPD2,63.472,59.6799,-0.0888755
SCARNA10,1.94531,0.71505,-1.44388
GAPDH,3121.66,2442.91,-0.353712
COPS7A,30.2095,50.8774,0.752025
PTMS,20.2819,58.0813,1.51788
LAG3,0.0330239,0.0525977,0.671486
CD4,0.675317,0.677369,0.00437745
